"gene","locus_tag","product","combined"
"1235","NWMN_1235","conserved hypothetical protein","1235: conserved hypothetical protein"
"nuc","NWMN_1236","thermonuclease","nuc: thermonuclease"
"1237","NWMN_1237","conserved hypothetical protein","1237: conserved hypothetical protein"
"1238","NWMN_1238","conserved hypothetical protein","1238: conserved hypothetical protein"
"thrA","NWMN_1239","aspartate kinase","thrA: aspartate kinase"
"metL","NWMN_1240","homoserine dehydrogenase","metL: homoserine dehydrogenase"
"thrC","NWMN_1241","threonine synthase","thrC: threonine synthase"
"thrB","NWMN_1242","homoserine kinase","thrB: homoserine kinase"
"1243","NWMN_1243","haloacid dehalogenase-like hydrolase","1243: haloacid dehalogenase-like hydrolase"
"1244","NWMN_1244","conserved hypothetical protein","1244: conserved hypothetical protein"
"1245","NWMN_1245","amino acid permease","1245: amino acid permease"
"katA","NWMN_1246","catalase","katA: catalase"
"rpmG.1","NWMN_1247","50S ribosomal protein L33","rpmG.1: 50S ribosomal protein L33"
"rpsN.1","NWMN_1248","30S ribosomal protein S14","rpsN.1: 30S ribosomal protein S14"
"p:guaC","NWMN_1249","guanosine monophosphate reductase","p:guaC: guanosine monophosphate reductase"
"1250","NWMN_1250","conserved hypothetical protein","1250: conserved hypothetical protein"
"lexA","NWMN_1251","DNA damage-inducible LexA repressor","lexA: DNA damage-inducible LexA repressor"
"p:sosA","NWMN_1252","conserved hypothetical protein","p:sosA: conserved hypothetical protein"
"1253","NWMN_1253","conserved hypothetical protein","1253: conserved hypothetical protein"
"tkt","NWMN_1254","transketolase","tkt: transketolase"
"1255","NWMN_1255","conserved hypothetical protein","1255: conserved hypothetical protein"
"1256","NWMN_1256","conserved hypothetical protein","1256: conserved hypothetical protein"
"sbcD","NWMN_1257","exonuclease SbcD","sbcD: exonuclease SbcD"
"sbcC","NWMN_1258","exonuclease SbcC","sbcC: exonuclease SbcC"
"1259","NWMN_1259","conserved hypothetical protein","1259: conserved hypothetical protein"
"mskL","NWMN_1260","large conductance mechanosensitive channel protein","mskL: large conductance mechanosensitive channel protein"
"p:opuD1","NWMN_1261","glycine betaine transporter 1","p:opuD1: glycine betaine transporter 1"
"1262","NWMN_1262","conserved hypothetical protein","1262: conserved hypothetical protein"
"p:citB","NWMN_1263","aconitate hydratase","p:citB: aconitate hydratase"
"1264","NWMN_1264","4-hydroxybenzoyl-CoA thioesterase","1264: 4-hydroxybenzoyl-CoA thioesterase"
"1265","NWMN_1265","conserved hypothetical protein","1265: conserved hypothetical protein"
"p:plsY","NWMN_1266","conserved hypothetical protein","p:plsY: conserved hypothetical protein"
"parE","NWMN_1267","DNA topoisomerase IV%2C B subunit","parE: DNA topoisomerase IV%2C B subunit"
"parC","NWMN_1268","DNA topoisomerase IV%2C A subunit","parC: DNA topoisomerase IV%2C A subunit"
"p:alsT","NWMN_1269","sodium:alanine symporter family protein","p:alsT: sodium:alanine symporter family protein"
"p:glcT","NWMN_1270","transcription antiterminator","p:glcT: transcription antiterminator"
"p:cozEb","NWMN_1271","conserved hypothetical protein","p:cozEb: conserved hypothetical protein"
"fmtC","NWMN_1272","oxacillin resistance-related FmtC protein","fmtC: oxacillin resistance-related FmtC protein"
"msrA.1","NWMN_1273","peptide methionine sulfoxide reductase I","msrA.1: peptide methionine sulfoxide reductase I"
"msrR","NWMN_1274","peptide methionine sulfoxide reductase regulator","msrR: peptide methionine sulfoxide reductase regulator"
"p:dmpI","NWMN_1275","4-oxalocrotonate tautomerase","p:dmpI: 4-oxalocrotonate tautomerase"
"p:umuC","NWMN_1276","ImpB/MucB/SamB family DNA-damage repair protein","p:umuC: ImpB/MucB/SamB family DNA-damage repair protein"
"tyrA","NWMN_1277","prephenate dehydrogenase","tyrA: prephenate dehydrogenase"
"1278","NWMN_1278","conserved hypothetical protein","1278: conserved hypothetical protein"
"trpE","NWMN_1279","anthranilate synthase component I","trpE: anthranilate synthase component I"
"trpG","NWMN_1280","anthranilate synthase component II","trpG: anthranilate synthase component II"
"trpD","NWMN_1281","anthranilate phosphoribosyltransferase","trpD: anthranilate phosphoribosyltransferase"
"trpC","NWMN_1282","indole-3-glycerol phosphate synthase","trpC: indole-3-glycerol phosphate synthase"
"trpF","NWMN_1283","N-(5'phosphoribosyl)anthranilate isomerase","trpF: N-(5'phosphoribosyl)anthranilate isomerase"
"trpB","NWMN_1284","tryptophan synthase%2C beta subunit","trpB: tryptophan synthase%2C beta subunit"
"trpA","NWMN_1285","tryptophan synthase alpha chain","trpA: tryptophan synthase alpha chain"
"femA","NWMN_1286","methicillin resistance protein FemA","femA: methicillin resistance protein FemA"
"femB","NWMN_1287","methicillin resistance expression factor FemB","femB: methicillin resistance expression factor FemB"
"1288","NWMN_1288","conserved hypothetical protein","1288: conserved hypothetical protein"
"1289","NWMN_1289","conserved hypothetical protein","1289: conserved hypothetical protein"
"p:nikE","NWMN_1290","oligopeptide ABC transporter%2C ATP-binding protein","p:nikE: oligopeptide ABC transporter%2C ATP-binding protein"
"p:nikD","NWMN_1291","oligopeptide transporter ATPase","p:nikD: oligopeptide transporter ATPase"
"p:nikC","NWMN_1292","oligopeptide transport system permease domain","p:nikC: oligopeptide transport system permease domain"
"p:nikB","NWMN_1293","oligopeptide transporter membrane permease domain","p:nikB: oligopeptide transporter membrane permease domain"
"1294","NWMN_1294","conserved hypothetical protein","1294: conserved hypothetical protein"
"pepF","NWMN_1295","oligoendopeptidase F","pepF: oligoendopeptidase F"
"phoU","NWMN_1296","phosphate transport system regulatory protein PhoU","phoU: phosphate transport system regulatory protein PhoU"
"pstB","NWMN_1297","phosphate ABC transporter%2C ATP-binding protein","pstB: phosphate ABC transporter%2C ATP-binding protein"
"p:pstA","NWMN_1298","phosphate ABC transporter%2C permease protein","p:pstA: phosphate ABC transporter%2C permease protein"
"p:pstC","NWMN_1299","phosphate ABC transporter%2C permease protein","p:pstC: phosphate ABC transporter%2C permease protein"
"pstS","NWMN_1300","phosphate ABC transporter%2C phosphate-binding protein PstS","pstS: phosphate ABC transporter%2C phosphate-binding protein PstS"
"1301","NWMN_1301","truncated transposase for IS1272","1301: truncated transposase for IS1272"
"p:cvfB","NWMN_1302","conserved hypothetical protein","p:cvfB: conserved hypothetical protein"
"1303","NWMN_1303","ABC transporter ATP-binding protein","1303: ABC transporter ATP-binding protein"
"lysC","NWMN_1304","aspartokinase II","lysC: aspartokinase II"
"asd","NWMN_1305","aspartate-semialdehyde dehydrogenase","asd: aspartate-semialdehyde dehydrogenase"
"dapA","NWMN_1306","dihydrodipicolinate synthase","dapA: dihydrodipicolinate synthase"
"dapB","NWMN_1307","dihydrodipicolinate reductase","dapB: dihydrodipicolinate reductase"
"dapD","NWMN_1308","tetrahydrodipicolinate acetyltransferase","dapD: tetrahydrodipicolinate acetyltransferase"
"hipO","NWMN_1309","hippurate hydrolase","hipO: hippurate hydrolase"
"alr2","NWMN_1310","alanine racemase 2","alr2: alanine racemase 2"
"lysA","NWMN_1311","diaminopimelate decarboxylase","lysA: diaminopimelate decarboxylase"
"p:msaC","NWMN_1312","conserved hypothetical protein","p:msaC: conserved hypothetical protein"
"cspA","NWMN_1313","major cold-shock protein CspA","cspA: major cold-shock protein CspA"
"p:msaA","NWMN_1314","conserved hypothetical protein","p:msaA: conserved hypothetical protein"
"p:acyP","NWMN_1315","acylphosphatase","p:acyP: acylphosphatase"
"p:xpaC","NWMN_1316","conserved hypothetical protein","p:xpaC: conserved hypothetical protein"
"1317","NWMN_1317","conserved hypothetical protein","1317: conserved hypothetical protein"
"p:tnp","NWMN_1318","truncated transposase for IS1272","p:tnp: truncated transposase for IS1272"
"p:tnp1","NWMN_1319","truncated transposase for IS1272","p:tnp1: truncated transposase for IS1272"
"p:brnQ3","NWMN_1320","branched-chain amino acid transporter protein","p:brnQ3: branched-chain amino acid transporter protein"
"1321","NWMN_1321","von Willebrand factor%2C type A","1321: von Willebrand factor%2C type A"
"1322","NWMN_1322","conserved hypothetical protein","1322: conserved hypothetical protein"
"1323","NWMN_1323","conserved hypothetical protein","1323: conserved hypothetical protein"
"1324","NWMN_1324","conserved hypothetical protein","1324: conserved hypothetical protein"
"sucB","NWMN_1325","dihydrolipoamide succinyltransferase E2 component of 2-oxoglutarate dehydrogenase complex","sucB: dihydrolipoamide succinyltransferase E2 component of 2-oxoglutarate dehydrogenase complex"
"sucA","NWMN_1326","2-oxoglutarate dehydrogenase E1 component","sucA: 2-oxoglutarate dehydrogenase E1 component"
"p:arlS","NWMN_1327","two-component sensor histidine kinase","p:arlS: two-component sensor histidine kinase"
"p:arlR","NWMN_1328","two-component response regulator","p:arlR: two-component response regulator"
"p:pgpB","NWMN_1329","conserved hypothetical protein","p:pgpB: conserved hypothetical protein"
"murG.2","NWMN_1330","UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapep tide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","murG.2: UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapep tide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase"
"1331","NWMN_1331","acetyltransferase%2C GNAT family protein","1331: acetyltransferase%2C GNAT family protein"
"ctpA","NWMN_1332","carboxyl-terminal protease","ctpA: carboxyl-terminal protease"
"p:crr","NWMN_1333","phosphotransferase system glucose-specific IIA component","p:crr: phosphotransferase system glucose-specific IIA component"
"msrB","NWMN_1334","methionine sulfoxide reductase B","msrB: methionine sulfoxide reductase B"
"msrA.2","NWMN_1335","peptide methionine sulfoxide reductase II","msrA.2: peptide methionine sulfoxide reductase II"
"p:fakB2","NWMN_1336","conserved hypothetical protein","p:fakB2: conserved hypothetical protein"
"dfrA","NWMN_1337","dihydrofolate reductase","dfrA: dihydrofolate reductase"
"thyA","NWMN_1338","thymidylate synthase","thyA: thymidylate synthase"
"p:brxA","NWMN_1339","conserved hypothetical protein","p:brxA: conserved hypothetical protein"
"p:cvfC","NWMN_1340","conserved hypothetical protein","p:cvfC: conserved hypothetical protein"
"1341","NWMN_1341","conserved hypothetical protein","1341: conserved hypothetical protein"
"1342","NWMN_1342","conserved hypothetical protein","1342: conserved hypothetical protein"
"p:rnhA","NWMN_1343","conserved hypothetical protein","p:rnhA: conserved hypothetical protein"
"ebh2","NWMN_1344","cell wall associated fibronectin-binding protein","ebh2: cell wall associated fibronectin-binding protein"
"ebh1","NWMN_1345","conserved hypothetical protein","ebh1: conserved hypothetical protein"
"p:norB","NWMN_1346","conserved hypothetical protein","p:norB: conserved hypothetical protein"
"1347","NWMN_1347","amino acid permease","1347: amino acid permease"
"ilvA.1","NWMN_1348","threonine dehydratase II","ilvA.1: threonine dehydratase II"
"ald.1","NWMN_1349","alanine dehydrogenase 2","ald.1: alanine dehydrogenase 2"
"1350","NWMN_1350","conserved hypothetical protein","1350: conserved hypothetical protein"
"p:dynA","NWMN_1351","conserved hypothetical protein","p:dynA: conserved hypothetical protein"
"1352","NWMN_1352","conserved hypothetical protein","1352: conserved hypothetical protein"
"1353","NWMN_1353","conserved hypothetical protein","1353: conserved hypothetical protein"
"1354","NWMN_1354","conserved hypothetical protein","1354: conserved hypothetical protein"
"1355","NWMN_1355","conserved hypothetical protein","1355: conserved hypothetical protein"
"p:gpsB","NWMN_1356","conserved hypothetical protein","p:gpsB: conserved hypothetical protein"
"1357","NWMN_1357","conserved hypothetical protein","1357: conserved hypothetical protein"
"1358","NWMN_1358","conserved hypothetical protein","1358: conserved hypothetical protein"
"1359","NWMN_1359","conserved hypothetical protein","1359: conserved hypothetical protein"
"recU","NWMN_1360","recombination protein U","recU: recombination protein U"
"pbpB","NWMN_1361","penicillin binding protein 2","pbpB: penicillin binding protein 2"
"1362","NWMN_1362","conserved hypothetical protein","1362: conserved hypothetical protein"
"p:nth","NWMN_1363","conserved hypothetical protein","p:nth: conserved hypothetical protein"
"dnaD","NWMN_1364","DNA replication protein DnaD","dnaD: DNA replication protein DnaD"
"asnS","NWMN_1365","asparaginyl-tRNA synthetase","asnS: asparaginyl-tRNA synthetase"
"p:dinG","NWMN_1366","DnaQ family exonuclease","p:dinG: DnaQ family exonuclease"
"birA","NWMN_1367","BirA bifunctional protein","birA: BirA bifunctional protein"
"p:papS","NWMN_1368","conserved hypothetical protein","p:papS: conserved hypothetical protein"
"p:bshA","NWMN_1369","glycosyl transferase%2C group 1 family protein","p:bshA: glycosyl transferase%2C group 1 family protein"
"1370","NWMN_1370","MazG nucleotide pyrophosphohydrolase","1370: MazG nucleotide pyrophosphohydrolase"
"1371","NWMN_1371","conserved hypothetical protein","1371: conserved hypothetical protein"
"1372","NWMN_1372","conserved hypothetical protein","1372: conserved hypothetical protein"
"1373","NWMN_1373","conserved hypothetical protein","1373: conserved hypothetical protein"
"1374","NWMN_1374","conserved hypothetical protein","1374: conserved hypothetical protein"
"aroA","NWMN_1375","3-phosphoshikimate 1-carboxyvinyltransferase","aroA: 3-phosphoshikimate 1-carboxyvinyltransferase"
"aroB","NWMN_1376","3-dehydroquinate synthase","aroB: 3-dehydroquinate synthase"
"aroC","NWMN_1377","chorismate synthase","aroC: chorismate synthase"
"ndk","NWMN_1378","nucleoside diphosphate kinase","ndk: nucleoside diphosphate kinase"
"hepT","NWMN_1379","heptaprenyl diphosphate synthase component II","hepT: heptaprenyl diphosphate synthase component II"
"gerCB","NWMN_1380","2-heptaprenyl-1%2C4-naphthoquinone methyltransferase","gerCB: 2-heptaprenyl-1%2C4-naphthoquinone methyltransferase"
"1381","NWMN_1381","conserved hypothetical protein","1381: conserved hypothetical protein"
"p:hup","NWMN_1382","DNA-binding protein HU","p:hup: DNA-binding protein HU"
"gpsA","NWMN_1383","glycerol-3-phosphate dehydrogenase","gpsA: glycerol-3-phosphate dehydrogenase"
"engG","NWMN_1384","GTP-binding protein EngA","engG: GTP-binding protein EngA"
"rpsA","NWMN_1385","30S ribosomal protein S1","rpsA: 30S ribosomal protein S1"
"cmk","NWMN_1386","cytidylate kinase","cmk: cytidylate kinase"
"ansA","NWMN_1387","L-asparaginase","ansA: L-asparaginase"
"p:bdr","NWMN_1388","pyridine nucleotide-disulphide oxidoreductase","p:bdr: pyridine nucleotide-disulphide oxidoreductase"
"ebpS","NWMN_1389","elastin binding protein","ebpS: elastin binding protein"
"p:recQ2","NWMN_1390","conserved hypothetical protein","p:recQ2: conserved hypothetical protein"
"1391","NWMN_1391","conserved hypothetical protein","1391: conserved hypothetical protein"
"fer","NWMN_1392","ferredoxin","fer: ferredoxin"
"p:ribU","NWMN_1393","conserved hypothetical protein","p:ribU: conserved hypothetical protein"
"1394","NWMN_1394","conserved hypothetical protein","1394: conserved hypothetical protein"
"1395","NWMN_1395","conserved hypothetical protein","1395: conserved hypothetical protein"
"1396","NWMN_1396","conserved hypothetical protein","1396: conserved hypothetical protein"
"1397","NWMN_1397","conserved hypothetical protein","1397: conserved hypothetical protein"
"1398","NWMN_1398","conserved hypothetical protein","1398: conserved hypothetical protein"
"srrB","NWMN_1399","staphylococcal respiratory response protein SrrB","srrB: staphylococcal respiratory response protein SrrB"
"srrA","NWMN_1400","DNA-binding response regulator SrrA","srrA: DNA-binding response regulator SrrA"
"rluB","NWMN_1401","ribosomal large subunit pseudouridine synthase B","rluB: ribosomal large subunit pseudouridine synthase B"
"p:scpB.1","NWMN_1402","conserved hypothetical protein","p:scpB.1: conserved hypothetical protein"
"p:scpA","NWMN_1403","conserved hypothetical protein","p:scpA: conserved hypothetical protein"
"1404","NWMN_1404","conserved hypothetical protein","1404: conserved hypothetical protein"
"p:xerD","NWMN_1405","integrase/recombinase XerD","p:xerD: integrase/recombinase XerD"
"p:fur","NWMN_1406","iron uptake regulatory protein","p:fur: iron uptake regulatory protein"
"p:nudF","NWMN_1407","ADP-ribose pyrophosphatase","p:nudF: ADP-ribose pyrophosphatase"
"1408","NWMN_1408","aldo/keto reductase family protein","1408: aldo/keto reductase family protein"
"1409","NWMN_1409","short-chain oxidoreductase family protein","1409: short-chain oxidoreductase family protein"
"p:proC","NWMN_1410","pyrroline-5-carboxylate reductase","p:proC: pyrroline-5-carboxylate reductase"
"p:rnz","NWMN_1411","conserved hypothetical protein","p:rnz: conserved hypothetical protein"
"zwf","NWMN_1412","glucose-6-phosphate 1-dehydrogenase","zwf: glucose-6-phosphate 1-dehydrogenase"
"1413","NWMN_1413","transcriptional regulator AraC family protein","1413: transcriptional regulator AraC family protein"
"malA","NWMN_1414","alpha-D-1%2C4-glucosidase","malA: alpha-D-1%2C4-glucosidase"
"marR","NWMN_1415","maltose operon repressor","marR: maltose operon repressor"
"1416","NWMN_1416","glyoxalase family protein","1416: glyoxalase family protein"
"gnd","NWMN_1417","6-phosphogluconate dehydrogenase%2C decarboxylating","gnd: 6-phosphogluconate dehydrogenase%2C decarboxylating"
"1418","NWMN_1418","peptidase M20/M25/M40 family protein","1418: peptidase M20/M25/M40 family protein"
"1419","NWMN_1419","conserved hypothetical protein","1419: conserved hypothetical protein"
"p:brxB","NWMN_1420","conserved hypothetical protein","p:brxB: conserved hypothetical protein"
"p:bfmBB","NWMN_1421","2-oxoisovalerate dehydrogenase%2C E2 component","p:bfmBB: 2-oxoisovalerate dehydrogenase%2C E2 component"
"p:bfmBAB","NWMN_1422","2-oxoisovalerate dehydrogenase%2C E1 component%2C beta subunit","p:bfmBAB: 2-oxoisovalerate dehydrogenase%2C E1 component%2C beta subunit"
"p:bfmBAA","NWMN_1423","2-oxoisovalerate dehydrogenase%2C E1 component%2C alpha subunit","p:bfmBAA: 2-oxoisovalerate dehydrogenase%2C E1 component%2C alpha subunit"
"lpdA","NWMN_1424","dihydrolipoamide dehydrogenase","lpdA: dihydrolipoamide dehydrogenase"
"recN","NWMN_1425","DNA repair protein RecN","recN: DNA repair protein RecN"
"ahrC","NWMN_1426","arginine repressor","ahrC: arginine repressor"
"ispA","NWMN_1427","geranyltranstransferase","ispA: geranyltranstransferase"
"xseA","NWMN_1428","exodeoxyribonuclease VII large subunit","xseA: exodeoxyribonuclease VII large subunit"
"nusB","NWMN_1429","transcription antitermination protein NusB","nusB: transcription antitermination protein NusB"
"1430","NWMN_1430","conserved hypothetical protein","1430: conserved hypothetical protein"
"accC.1","NWMN_1431","biotin carboxylase subunit of acetyl-CoA carboxylase","accC.1: biotin carboxylase subunit of acetyl-CoA carboxylase"
"accB.1","NWMN_1432","acetyl-CoA carboxylase%2C biotin carboxyl carrier protein","accB.1: acetyl-CoA carboxylase%2C biotin carboxyl carrier protein"
"efp","NWMN_1433","translation elongation factor EF-P","efp: translation elongation factor EF-P"
"p:pepQ2","NWMN_1434","proline dipeptidase","p:pepQ2: proline dipeptidase"
"1435","NWMN_1435","conserved hypothetical protein","1435: conserved hypothetical protein"
"1436","NWMN_1436","conserved hypothetical protein","1436: conserved hypothetical protein"
"p:lipM","NWMN_1437","biotin/lipoate A/B protein ligase","p:lipM: biotin/lipoate A/B protein ligase"
"1438","NWMN_1438","conserved hypothetical protein","1438: conserved hypothetical protein"
"gcvPB","NWMN_1439","glycine cleavage system P protein%2C subunit 2","gcvPB: glycine cleavage system P protein%2C subunit 2"
"gcvPA","NWMN_1440","glycine dehydrogenase (decarboxylating) subunit 1","gcvPA: glycine dehydrogenase (decarboxylating) subunit 1"
"gcvT","NWMN_1441","aminomethyltransferase","gcvT: aminomethyltransferase"
"p:aroK","NWMN_1442","conserved hypothetical protein","p:aroK: conserved hypothetical protein"
"p:comGF","NWMN_1443","conserved hypothetical protein","p:comGF: conserved hypothetical protein"
"p:comGE","NWMN_1444","conserved hypothetical protein","p:comGE: conserved hypothetical protein"
"p:comGD","NWMN_1445","conserved hypothetical protein","p:comGD: conserved hypothetical protein"
"p:comGC","NWMN_1446","competence protein ComGC homolog","p:comGC: competence protein ComGC homolog"
"p:comGB","NWMN_1447","competence protein ComGB homolog","p:comGB: competence protein ComGB homolog"
"p:comGA","NWMN_1448","competence protein ComGA homolog","p:comGA: competence protein ComGA homolog"
"1449","NWMN_1449","metallo-beta-lactamase superfamily protein","1449: metallo-beta-lactamase superfamily protein"
"1450","NWMN_1450","conserved hypothetical protein","1450: conserved hypothetical protein"
"glk","NWMN_1451","glucokinase","glk: glucokinase"
"1452","NWMN_1452","peptidase%2C rhomboid family protein","1452: peptidase%2C rhomboid family protein"
"1453","NWMN_1453","5-formyltetrahydrofolate cyclo-ligase","1453: 5-formyltetrahydrofolate cyclo-ligase"
"rpmG.2","NWMN_1454","50S ribosomal protein L33","rpmG.2: 50S ribosomal protein L33"
"pbpC","NWMN_1455","penicillin-binding protein 3","pbpC: penicillin-binding protein 3"
"sodA","NWMN_1456","superoxide dismutase Mn/Fe family protein","sodA: superoxide dismutase Mn/Fe family protein"
"p:zur","NWMN_1457","zinc-specific metalloregulatory protein","p:zur: zinc-specific metalloregulatory protein"
"p:znuB","NWMN_1458","ABC transporter permease","p:znuB: ABC transporter permease"
"p:znuC","NWMN_1459","ABC transporter ATP-binding protein","p:znuC: ABC transporter ATP-binding protein"
"p:nfo","NWMN_1460","endonuclease IV","p:nfo: endonuclease IV"
"p:cshB","NWMN_1461","ATP-dependent RNA helicase DEAD/DEAH box family protein","p:cshB: ATP-dependent RNA helicase DEAD/DEAH box family protein"
"1462","NWMN_1462","conserved hypothetical protein","1462: conserved hypothetical protein"
"p:trmK","NWMN_1463","conserved hypothetical protein","p:trmK: conserved hypothetical protein"
"sigA","NWMN_1464","RNA polymerase sigma factor","sigA: RNA polymerase sigma factor"
"dnaG","NWMN_1465","DNA primase","dnaG: DNA primase"
"1466","NWMN_1466","conserved hypothetical protein","1466: conserved hypothetical protein"
"p:ccpN","NWMN_1467","CBS domain pair protein","p:ccpN: CBS domain pair protein"
"glyS","NWMN_1468","glycyl-tRNA synthetase","glyS: glycyl-tRNA synthetase"
"recO","NWMN_1469","DNA repair protein RecO","recO: DNA repair protein RecO"
"era","NWMN_1470","GTP-binding protein Era","era: GTP-binding protein Era"
"p:cdd","NWMN_1471","cytidine deaminase%2C homotetrameric","p:cdd: cytidine deaminase%2C homotetrameric"
"p:dgkA","NWMN_1472","diacylglycerol kinase","p:dgkA: diacylglycerol kinase"
"p:ybeY","NWMN_1473","conserved hypothetical protein","p:ybeY: conserved hypothetical protein"
"phoH","NWMN_1474","phosphate starvation-induced protein%2C PhoH homolog","phoH: phosphate starvation-induced protein%2C PhoH homolog"
"1475","NWMN_1475","conserved hypothetical protein","1475: conserved hypothetical protein"
"p:floA","NWMN_1476","conserved hypothetical protein","p:floA: conserved hypothetical protein"
"1477","NWMN_1477","conserved hypothetical protein","1477: conserved hypothetical protein"
"rpsU","NWMN_1478","30S ribosomal protein S21","rpsU: 30S ribosomal protein S21"
"p:mtaB","NWMN_1479","conserved hypothetical protein","p:mtaB: conserved hypothetical protein"
"p:rsmE","NWMN_1480","conserved hypothetical protein","p:rsmE: conserved hypothetical protein"
"prmA","NWMN_1481","ribosomal protein L11 methylase","prmA: ribosomal protein L11 methylase"
"dnaJ","NWMN_1482","chaperone protein DnaJ","dnaJ: chaperone protein DnaJ"
"dnaK","NWMN_1483","chaperone protein DnaK","dnaK: chaperone protein DnaK"
"grpE","NWMN_1484","Hsp-70 cofactor GrpE protein","grpE: Hsp-70 cofactor GrpE protein"
"hrcA","NWMN_1485","heat-inducible transcription repressor","hrcA: heat-inducible transcription repressor"
"hemN","NWMN_1486","oxygen-independent coproporphyrinogen III oxidase","hemN: oxygen-independent coproporphyrinogen III oxidase"
"p:lepA","NWMN_1487","GTP-binding protein LepA","p:lepA: GTP-binding protein LepA"
"rpsT","NWMN_1488","30S ribosomal protein S20","rpsT: 30S ribosomal protein S20"
"holA","NWMN_1489","DNA polymerase III%2C delta subunit","holA: DNA polymerase III%2C delta subunit"
"comEC","NWMN_1490","DNA internalization-related competence protein ComEC/Rec2","comEC: DNA internalization-related competence protein ComEC/Rec2"
"comEB","NWMN_1491","competence protein ComEB required for DNA binding and uptake","comEB: competence protein ComEB required for DNA binding and uptake"
"comEA","NWMN_1492","competence protein ComEA","comEA: competence protein ComEA"
"1493","NWMN_1493","conserved hypothetical protein","1493: conserved hypothetical protein"
"p:rsfS","NWMN_1494","conserved hypothetical protein","p:rsfS: conserved hypothetical protein"
"1495","NWMN_1495","conserved hypothetical protein","1495: conserved hypothetical protein"
"p:nadD","NWMN_1496","nicotinate (nicotinamide) nucleotide adenylyltransferase","p:nadD: nicotinate (nicotinamide) nucleotide adenylyltransferase"
"s:yhbY","NWMN_1497","conserved hypothetical protein","s:yhbY: conserved hypothetical protein"
"aroE","NWMN_1498","shikimate 5-dehydrogenase","aroE: shikimate 5-dehydrogenase"
"s:yqeH","NWMN_1499","conserved hypothetical protein","s:yqeH: conserved hypothetical protein"
"1500","NWMN_1500","hydrolase%2C HAD-superfamily%2C subfamily IIIA","1500: hydrolase%2C HAD-superfamily%2C subfamily IIIA"
"pfs","NWMN_1501","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","pfs: 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"1502","NWMN_1502","conserved hypothetical protein","1502: conserved hypothetical protein"
"1503","NWMN_1503","enterotoxin family protein","1503: enterotoxin family protein"
"1504","NWMN_1504","conserved hypothetical protein","1504: conserved hypothetical protein"
"1505","NWMN_1505","conserved hypothetical protein","1505: conserved hypothetical protein"
"p:pxpA","NWMN_1506","LamB/YcsF family protein","p:pxpA: LamB/YcsF family protein"
"accC.2","NWMN_1507","acetyl-CoA biotin carboxylase","accC.2: acetyl-CoA biotin carboxylase"
"accB.2","NWMN_1508","acetyl-CoA carboxylase%2C biotin carboxyl carrier protein","accB.2: acetyl-CoA carboxylase%2C biotin carboxyl carrier protein"
"1509","NWMN_1509","urea amidolyase-related protein","1509: urea amidolyase-related protein"
"s:pxpB","NWMN_1510","conserved hypothetical protein","s:pxpB: conserved hypothetical protein"
"greA","NWMN_1511","transcription elongation factor","greA: transcription elongation factor"
"udk","NWMN_1512","uridine kinase","udk: uridine kinase"
"1513","NWMN_1513","peptidase U32 family protein","1513: peptidase U32 family protein"
"1514","NWMN_1514","peptidase U32 family protein","1514: peptidase U32 family protein"
"1515","NWMN_1515","O-methyltransferase family protein","1515: O-methyltransferase family protein"
"1516","NWMN_1516","conserved hypothetical protein","1516: conserved hypothetical protein"
"s:ruvX","NWMN_1517","conserved hypothetical protein","s:ruvX: conserved hypothetical protein"
"1518","NWMN_1518","conserved hypothetical protein","1518: conserved hypothetical protein"
"alaS","NWMN_1519","alanyl-tRNA synthetase","alaS: alanyl-tRNA synthetase"
"p:recD2","NWMN_1520","helicase RecD/TraA family protein","p:recD2: helicase RecD/TraA family protein"
"1521","NWMN_1521","conserved hypothetical protein","1521: conserved hypothetical protein"
"1522","NWMN_1522","hypothetical protein","1522: hypothetical protein"
"trmU","NWMN_1523","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"
"p:iscS","NWMN_1524","aminotransferase%2C class V","p:iscS: aminotransferase%2C class V"
"1525","NWMN_1525","bacterial luciferase family protein","1525: bacterial luciferase family protein"
"1526","NWMN_1526","hypothetical protein","1526: hypothetical protein"
"p:csbD","NWMN_1527","conserved hypothetical protein","p:csbD: conserved hypothetical protein"
"p:cymR","NWMN_1528","conserved hypothetical protein","p:cymR: conserved hypothetical protein"
"p:rarA","NWMN_1529","ATPase AAA family protein","p:rarA: ATPase AAA family protein"
"p:tcdA","NWMN_1530","HesA/MoeB(molybdopterin biosynthesis)/ThiF family protein","p:tcdA: HesA/MoeB(molybdopterin biosynthesis)/ThiF family protein"
"p:ssrS","NWMN_1531","conserved hypothetical protein","p:ssrS: conserved hypothetical protein"
"aspS","NWMN_1532","aspartyl-tRNA synthetase","aspS: aspartyl-tRNA synthetase"
"hisS","NWMN_1533","histidyl-tRNA synthetase","hisS: histidyl-tRNA synthetase"
